time,open,high,low,close,Volume,Volume MA,RSI
1625342400,2225.36,2226.78,2220.17,2224.47,3388.79239,4179.078225499992,58.61088545897629
1625343300,2224.47,2228.75,2221.58,2223.34,3523.8446,4193.657890999993,54.32276657060521
1625344200,2223.33,2223.33,2215.01,2217.66,3580.69382,4056.683216499993,46.1150353178605
1625345100,2217.66,2220.79,2212.85,2220.7,3374.39014,3982.578154999993,37.99966827002798
1625346000,2220.7,2223.01,2216.01,2223.0,2812.76152,3630.565098499993,48.21189519984711
1625346900,2223.0,2224.29,2215.37,2221.0,2224.98969,3583.952938499993,51.271100264388856
1625347800,2220.99,2225.11,2215.51,2219.33,2254.9241,3468.017820499993,56.77927927927925
1625348700,2219.34,2227.38,2188.44,2191.33,13835.27124,4005.905731499993,26.16179001721145
1625349600,2191.95,2203.62,2190.78,2201.26,7761.10062,4221.833332999993,38.131349263127966
1625350500,2201.26,2209.98,2189.74,2192.33,6689.86188,4377.678046999992,30.680308264682537
1625351400,2192.14,2200.0,2187.12,2194.52,8204.54404,4409.006627499994,34.36183226858772
1625352300,2194.52,2208.9,2194.52,2205.66,3876.90266,4412.845948999993,38.97384051560714
1625353200,2205.87,2205.87,2194.25,2196.28,4446.84397,4390.856394499993,33.15173293149441
1625354100,2196.28,2200.93,2190.52,2198.64,3581.49893,4258.954944999993,35.28205128205133
1625355000,2198.9,2224.23,2196.68,2219.6,8374.06327,4537.5576504999935,48.26175869120644
1625355900,2219.61,2233.29,2217.59,2226.99,7056.58599,4728.067000999993,54.26846006038976
1625356800,2226.99,2231.07,2212.92,2213.39,5464.49321,4888.196913999993,46.9503546099291
1625357700,2213.39,2225.99,2210.85,2219.1,4189.67806,5012.702486499993,48.417978257342156
1625358600,2219.2,2221.65,2212.54,2214.92,2868.93676,5051.573944999994,47.57653061224491
1625359500,2214.75,2214.75,2205.13,2206.73,4139.85617,5082.501652999994,45.22582600788119
1625360400,2206.73,2210.29,2195.46,2199.4,5461.07526,5186.115796499993,53.62566268308032
1625361300,2199.4,2200.0,2189.58,2197.99,5534.08638,5286.627885499993,48.409068794395026
1625362200,2198.0,2206.0,2192.73,2200.96,3232.27684,5269.207036499994,54.45718417518859
1625363100,2200.97,2204.72,2195.24,2196.48,2150.5022,5208.012639499993,50.9889001009082
1625364000,2196.47,2208.73,2192.5,2206.47,3540.64481,5244.406803999993,50.41347626339967
1625364900,2206.49,2209.32,2204.37,2208.62,1474.37029,5206.875833999993,56.80114638447955
1625365800,2208.62,2214.76,2206.45,2214.28,3675.8025,5277.919753999993,58.31737928100418
